transcript_id,transcript_position,probability
ENST00000000233,244,0.026707672
ENST00000000233,261,0.0017196848
ENST00000000233,316,5.8326996e-06
ENST00000000233,332,0.26109922
ENST00000000233,368,0.00019667225
ENST00000000233,404,0.04039232
ENST00000000233,431,0.0030699172
ENST00000000233,440,0.00028568896
ENST00000000233,471,0.0045231064
ENST00000000233,539,0.28622478
ENST00000000233,571,0.04631599
ENST00000000233,575,0.0055066384
ENST00000000233,665,0.055016566
ENST00000000233,696,0.00035798535
ENST00000000233,752,0.00036108764
ENST00000000233,757,0.022570606
ENST00000000233,765,0.71994305
ENST00000000233,913,0.6739172
ENST00000000412,355,0.0001014719
ENST00000000412,367,0.0012738288
ENST00000000412,496,0.0004047926
ENST00000000412,501,0.00012677305
ENST00000000412,547,0.001630343
ENST00000000412,559,4.384754e-05
ENST00000000412,627,0.0023918685
ENST00000000412,674,0.0002703853
ENST00000000412,769,2.6704918e-06
ENST00000000412,783,0.0064006126
ENST00000000412,793,2.628069e-05
ENST00000000412,854,6.112375e-05
ENST00000000412,923,0.0015594424
ENST00000000412,932,9.733767e-06
ENST00000000412,1190,0.0026366513
ENST00000000412,1209,0.00034432905
ENST00000000412,1250,0.0021489605
ENST00000000412,1283,6.994924e-05
ENST00000000412,1343,1.3305857e-06
ENST00000000412,1458,6.948897e-06
ENST00000000412,1545,9.2900535e-08
ENST00000000412,1570,0.00020395915
ENST00000000412,1638,7.908706e-06
ENST00000000412,1661,0.0032633182
ENST00000000412,1699,4.7569607e-05
ENST00000000412,1790,0.004465424
ENST00000000412,1860,2.799591e-05
ENST00000000412,1888,0.0041048992
ENST00000000412,1960,0.00041393357
ENST00000000412,1986,0.04118459
ENST00000000412,2195,5.346437e-10
ENST00000000412,2230,0.0006792882
ENST00000000412,2275,0.009971182
ENST00000000412,2434,8.196756e-08
ENST00000000412,2462,2.4102543e-05
ENST00000000412,2484,4.5293604e-07
ENST00000000412,2564,0.00056287705
ENST00000000412,2580,0.9965131
ENST00000000412,2618,5.172915e-07
ENST00000000412,2707,3.528149e-10
ENST00000000412,2728,2.9443156e-05
ENST00000002165,35,0.0025216448
ENST00000002165,54,0.051487237
ENST00000002165,207,0.00083505886
ENST00000002165,367,1.846135e-06
ENST00000002165,449,0.07906816
ENST00000002165,457,0.00044181524
ENST00000002165,501,1.2816409e-05
ENST00000002165,534,0.11348337
ENST00000002165,547,0.8270417
ENST00000002165,567,5.3509546e-05
ENST00000002165,572,0.0022646617
ENST00000002165,576,0.11342151
ENST00000002165,589,0.99799144
ENST00000002165,680,0.030049052
ENST00000002165,708,0.00012542623
ENST00000002165,771,0.0019286714
ENST00000002165,900,3.0347532e-08
ENST00000002165,907,0.0813529
ENST00000002165,933,4.1846644e-05
ENST00000002165,941,0.00026220258
ENST00000002165,948,0.0005403798
ENST00000002165,952,1.6628175e-05
ENST00000002165,990,0.09361608
ENST00000002165,1031,0.030220706
ENST00000002165,1163,0.0044740317
ENST00000002165,1188,0.0026656217
ENST00000002165,1273,0.0038929416
ENST00000002165,1324,1.2230934e-06
ENST00000002165,1339,0.010218562
ENST00000002165,1350,0.009069301
ENST00000002165,1387,0.0130941365
ENST00000002165,1400,5.548575e-11
ENST00000002165,1445,0.06388722
ENST00000002165,1506,0.032252587
ENST00000002165,1553,0.021554016
ENST00000002165,1630,4.5899474e-06
ENST00000002165,1639,2.9514723e-07
ENST00000007516,186,0.04612017
ENST00000007516,204,0.41431823
ENST00000007516,307,0.009905104
ENST00000007516,329,0.1906464
ENST00000007516,337,4.3442822e-05
ENST00000007516,346,0.0029108024
ENST00000007516,385,0.13061221
ENST00000007516,397,0.0012370723
ENST00000007516,406,0.00045394557
ENST00000007516,545,0.116840206
ENST00000007516,569,0.014407821
ENST00000007516,604,0.0068464098
ENST00000007516,626,0.14653616
ENST00000007516,632,0.06227154
ENST00000007516,650,0.64971185
ENST00000001008,190,0.0018825273
ENST00000001008,257,5.3671192e-05
ENST00000001008,270,0.0009571357
ENST00000001008,338,0.13343123
ENST00000001008,389,0.00136774
ENST00000001008,410,0.0069093592
ENST00000001008,425,0.0010435844
ENST00000001008,458,0.72726834
ENST00000001008,510,0.000106309075
